Kab/Kota,Penduduk
Kab Pacitan,553390
Kab Ponorogo,869890
Kab Trenggalek,693100
Kab Tulungagung,1030790
Kab Blitar,1153800
Kab Kediri,1561390
Kab Malang,2576600
Kab Lumajang ,1036820
Kab Jember,2430190
Kab Banyuwangi,1604900
Kab Bondowoso,768910
Kab Situbondo,676700
Kab Probolinggo,1155210
Kab Pasuruan,1605310
Kab Sidoarjo,2183680
Kab Mojokerto,1099500
Kab Jombang,1253080
Kab Nganjuk,1048800
Kab Madiun,679890
Kab Magetan,628610
Kab Ngawi,829900
Kab Bojonegoro,1243910
Kab Tuban,1163610
Kab Lamongan,1188480
Kab Gresik,1285020
Kab Bangkalan,970890
Kab Sampang,958080
Kab Pamekasan,863000
Kab Sumenep,1081200
Kota Kediri,284000
Kota Blitar,140000
Kota Malang,861410
Kota Probolinggo,233120
Kota Pasuruan,197700
Kota Mojokerto,127280
Kota Madiun,176100
Kota Surabaya,2874700
Kota Batu,204000
